"시점","가정별",총인구(명),남자(명),여자(명),성비(여자1백명당),인구성장률,인구(명): 0-14세,인구(명): 15-64세,인구(명): 65세 이상,- 구성비(%): 0-14세,- 구성비(%): 15-64세,- 구성비(%): 65세 이상,총부양비,유소년부양비,노년부양비,노령화지수,중위연령(세),중위연령(세)-남자,중위연령(세)-여자,평균연령(세),평균연령(세)-남자,평균연령(세)-여자
"2020","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",51836239,25925697,25910542,100.1,0.14,6305870,37378502,8151867,12.2,72.1,15.7,38.7,16.9,21.8,129.3,43.7,42.3,45.1,42.7,41.5,43.9
"2021","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",51744876,25857805,25887071,99.9,-0.18,6143634,37029895,8571347,11.9,71.6,16.6,39.7,16.6,23.1,139.5,44.3,43.0,45.8,43.3,42.1,44.5
"2022","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",51628117,25790370,25837747,99.8,-0.23,5934472,36675233,9018412,11.5,71.0,17.5,40.8,16.2,24.6,152.0,45.0,43.6,46.5,43.9,42.7,45.1
"2023","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",51558034,25749708,25808326,99.8,-0.14,5686017,36372084,9499933,11.0,70.5,18.4,41.8,15.6,26.1,167.1,45.6,44.2,47.1,44.5,43.3,45.7
"2024","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",51500029,25714669,25785360,99.7,-0.11,5462580,36029123,10008326,10.6,70.0,19.4,42.9,15.2,27.8,183.2,46.3,44.9,47.7,45.1,43.9,46.3
"2025","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",51447504,25682920,25764584,99.7,-0.10,5252258,35609992,10585254,10.2,69.2,20.6,44.5,14.7,29.7,201.5,46.9,45.5,48.4,45.6,44.4,46.8
"2026","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",51397309,25652688,25744621,99.6,-0.10,5020301,35179627,11197381,9.8,68.4,21.8,46.1,14.3,31.8,223.0,47.5,46.1,48.9,46.2,45.0,47.4
"2027","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",51348388,25623449,25724939,99.6,-0.10,4810732,34867157,11670499,9.4,67.9,22.7,47.3,13.8,33.5,242.6,48.0,46.7,49.5,46.7,45.5,47.9
"2028","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",51300095,25594665,25705430,99.6,-0.09,4623091,34477274,12199730,9.0,67.2,23.8,48.8,13.4,35.4,263.9,48.6,47.3,50.1,47.2,46.0,48.4
"2029","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",51250905,25565335,25685570,99.5,-0.10,4474872,34179583,12596450,8.7,66.7,24.6,49.9,13.1,36.9,281.5,49.2,47.9,50.6,47.6,46.4,48.8
"2030","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",51199019,25534271,25664748,99.5,-0.10,4329353,33813340,13056326,8.5,66.0,25.5,51.4,12.8,38.6,301.6,49.8,48.5,51.2,48.1,46.9,49.3
"2031","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",51142848,25500682,25642166,99.4,-0.11,4205379,33442974,13494495,8.2,65.4,26.4,52.9,12.6,40.4,320.9,50.4,49.0,51.7,48.5,47.3,49.7
"2032","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",51082971,25465537,25617434,99.4,-0.12,4132442,33040470,13910059,8.1,64.7,27.2,54.6,12.5,42.1,336.6,50.9,49.6,52.3,48.9,47.7,50.1
"2033","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",51018619,25428194,25590425,99.4,-0.13,4103438,32577124,14338057,8.0,63.9,28.1,56.6,12.6,44.0,349.4,51.5,50.1,52.9,49.3,48.1,50.5
"2034","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",50947857,25387227,25560630,99.3,-0.14,4106571,31998620,14842666,8.1,62.8,29.1,59.2,12.8,46.4,361.4,52.0,50.5,53.4,49.7,48.5,50.9
"2035","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",50868691,25341396,25527295,99.3,-0.16,4141816,31437760,15289115,8.1,61.8,30.1,61.8,13.2,48.6,369.1,52.5,51.0,53.9,50.1,48.9,51.3
"2036","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",50774771,25287787,25486984,99.2,-0.18,4193021,30824374,15757376,8.3,60.7,31.0,64.7,13.6,51.1,375.8,53.0,51.4,54.4,50.5,49.2,51.7
"2037","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",50660209,25223712,25436497,99.2,-0.23,4248102,30234798,16177309,8.4,59.7,31.9,67.6,14.1,53.5,380.8,53.4,51.8,55.0,50.8,49.6,52.0
"2038","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",50524704,25148717,25375987,99.1,-0.27,4308309,29636052,16580343,8.5,58.7,32.8,70.5,14.5,55.9,384.8,53.8,52.2,55.5,51.2,50.0,52.4
"2039","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",50368731,25062989,25305742,99.0,-0.31,4372023,29043691,16953017,8.7,57.7,33.7,73.4,15.1,58.4,387.8,54.2,52.5,55.9,51.5,50.3,52.8
"2040","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",50193281,24967438,25225843,99.0,-0.35,4427467,28520944,17244870,8.8,56.8,34.4,76.0,15.5,60.5,389.5,54.6,52.9,56.3,51.9,50.7,53.1
"2041","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",49998451,24862101,25136350,98.9,-0.39,4464280,28051044,17483127,8.9,56.1,35.0,78.2,15.9,62.3,391.6,55.0,53.2,56.7,52.2,51.0,53.5
"2042","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",49784159,24747027,25037132,98.8,-0.43,4484052,27610404,17689703,9.0,55.5,35.5,80.3,16.2,64.1,394.5,55.3,53.6,57.1,52.6,51.3,53.8
"2043","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",49551362,24623212,24928150,98.8,-0.47,4488212,27172521,17890629,9.1,54.8,36.1,82.4,16.5,65.8,398.6,55.6,53.9,57.4,52.9,51.6,54.1
"2044","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",49300187,24490787,24809400,98.7,-0.51,4478097,26735583,18086507,9.1,54.2,36.7,84.4,16.7,67.6,403.9,55.9,54.3,57.8,53.2,51.9,54.4
"2045","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",49029906,24349262,24680644,98.7,-0.55,4454853,26239634,18335419,9.1,53.5,37.4,86.9,17.0,69.9,411.6,56.3,54.6,58.1,53.5,52.2,54.7
"2046","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",48739019,24198149,24540870,98.6,-0.60,4419381,25749434,18570204,9.1,52.8,38.1,89.3,17.2,72.1,420.2,56.6,55.0,58.4,53.8,52.5,55.0
"2047","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",48426874,24037198,24389676,98.6,-0.64,4372351,25264415,18790108,9.0,52.2,38.8,91.7,17.3,74.4,429.7,56.9,55.4,58.6,54.0,52.7,55.3
"2048","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",48093212,23866435,24226777,98.5,-0.69,4314222,24839285,18939705,9.0,51.6,39.4,93.6,17.4,76.2,439.0,57.2,55.8,58.9,54.3,53.0,55.6
"2049","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",47737283,23685828,24051455,98.5,-0.74,4245256,24486487,19005540,8.9,51.3,39.8,95.0,17.3,77.6,447.7,57.5,56.2,59.2,54.5,53.2,55.8
"2050","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",47358532,23495017,23863515,98.5,-0.80,4165590,24189053,19003889,8.8,51.1,40.1,95.8,17.2,78.6,456.2,57.9,56.5,59.5,54.8,53.4,56.1
"2051","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",46957061,23293951,23663110,98.4,-0.85,4080706,23886842,18989513,8.7,50.9,40.4,96.6,17.1,79.5,465.3,58.3,56.9,59.7,55.0,53.7,56.3
"2052","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",46534046,23083114,23450932,98.4,-0.90,3995647,23593453,18944946,8.6,50.7,40.7,97.2,16.9,80.3,474.1,58.6,57.3,60.1,55.2,53.9,56.5
"2053","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",46090617,22863378,23227239,98.4,-0.96,3909699,23302050,18878868,8.5,50.6,41.0,97.8,16.8,81.0,482.9,59.0,57.7,60.4,55.4,54.1,56.7
"2054","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",45628975,22635845,22993130,98.4,-1.01,3822313,22988840,18817822,8.4,50.4,41.2,98.5,16.6,81.9,492.3,59.3,58.0,60.7,55.6,54.3,56.9
"2055","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",45151722,22401355,22750367,98.5,-1.05,3733151,22653243,18765328,8.3,50.2,41.6,99.3,16.5,82.8,502.7,59.6,58.4,61.0,55.8,54.5,57.1
"2056","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",44660957,22161137,22499820,98.5,-1.09,3642164,22304305,18714488,8.2,49.9,41.9,100.2,16.3,83.9,513.8,60.0,58.7,61.3,56.0,54.7,57.3
"2057","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",44159136,21916651,22242485,98.5,-1.13,3549710,21894799,18714627,8.0,49.6,42.4,101.7,16.2,85.5,527.2,60.3,59.0,61.6,56.2,54.9,57.5
"2058","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",43649074,21668900,21980174,98.6,-1.16,3456621,21475161,18717292,7.9,49.2,42.9,103.3,16.1,87.2,541.5,60.6,59.3,61.9,56.4,55.1,57.7
"2059","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",43134131,21419386,21714745,98.6,-1.19,3364168,21065287,18704676,7.8,48.8,43.4,104.8,16.0,88.8,556.0,60.9,59.6,62.2,56.5,55.2,57.8
"2060","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",42617053,21169626,21447427,98.7,-1.21,3273988,20660407,18682658,7.7,48.5,43.8,106.3,15.8,90.4,570.6,61.2,59.9,62.4,56.7,55.4,58.0
"2061","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",42099995,20920520,21179475,98.8,-1.22,3187975,20249643,18662377,7.6,48.1,44.3,107.9,15.7,92.2,585.4,61.4,60.2,62.7,56.8,55.6,58.1
"2062","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",41585534,20673019,20912515,98.9,-1.23,3108052,19855143,18622339,7.5,47.7,44.8,109.4,15.7,93.8,599.2,61.7,60.4,62.9,57.0,55.7,58.2
"2063","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",41074913,20427643,20647270,98.9,-1.24,3036007,19471587,18567319,7.4,47.4,45.2,110.9,15.6,95.4,611.6,61.9,60.5,63.1,57.1,55.8,58.3
"2064","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",40569298,20184891,20384407,99.0,-1.24,2973310,19115992,18479996,7.3,47.1,45.6,112.2,15.6,96.7,621.5,62.0,60.6,63.3,57.2,55.9,58.4
"2065","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",40069340,19944832,20124508,99.1,-1.24,2920999,18745882,18402459,7.3,46.8,45.9,113.8,15.6,98.2,630.0,62.1,60.7,63.5,57.3,56.0,58.5
"2066","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",39574865,19707593,19867272,99.2,-1.24,2879601,18392086,18303178,7.3,46.5,46.2,115.2,15.7,99.5,635.6,62.1,60.8,63.5,57.3,56.1,58.5
"2067","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",39085966,19473353,19612613,99.3,-1.24,2849110,18113436,18123420,7.3,46.3,46.4,115.8,15.7,100.1,636.1,62.1,60.8,63.5,57.4,56.2,58.6
"2068","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",38602940,19242034,19360906,99.4,-1.24,2828990,17862144,17911806,7.3,46.3,46.4,116.1,15.8,100.3,633.2,62.1,60.9,63.5,57.4,56.3,58.6
"2069","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",38126347,19013814,19112533,99.5,-1.24,2818199,17603904,17704244,7.4,46.2,46.4,116.6,16.0,100.6,628.2,62.1,61.0,63.4,57.5,56.3,58.6
"2070","중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)",37655867,18788054,18867813,99.6,-1.24,2815279,17367650,17472938,7.5,46.1,46.4,116.8,16.2,100.6,620.6,62.2,61.0,63.4,57.5,56.4,58.6
